natCode;name;nume;pop_tot;0 - 4; 5 - 9; 10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 - 85;85 ani
10;ALBA;Alba;325941;14802;16164;17521;16978;16192;15836;20341;20136;23956;25586;27652;19922;22865;23561;17772;11383;8759;6515
109;BUZAU;Buzău;404979;17355;19348;22618;22297;19586;18375;22763;23018;29070;31320;38313;21377;29133;28993;22647;15254;12860;10652
118;CARAS-SEVERIN;Caraş-Severin;246588;10283;11326;12725;13610;11524;10902;13918;13969;16746;18570;21760;15333;19241;19795;15881;9460;7092;4453
127;CLUJ;Cluj;679141;35782;34609;34342;31178;35670;41270;53013;50876;52500;49321;52450;35302;41364;43367;33667;23364;18115;12951
136;CONSTANTA;Constanţa;655997;33506;36818;39749;35184;30530;29461;43759;44255;51311;49606;58105;34052;43336;46737;34626;19460;14856;10646
145;COVASNA;Covasna;200042;10738;11377;11869;11986;10733;9675;12957;13139;15810;15436;16846;10115;11970;13018;9586;6922;4741;3124
154;DAMBOVITA;Dâmboviţa;479404;23064;24167;26954;26814;25124;24723;31662;30480;36632;38260;43733;25367;30157;30821;25126;15030;12138;9152
163;DOLJ;Dolj;599442;29414;31280;32109;30937;30324;30504;37055;38008;44650;45589;52567;32763;40337;39998;33353;21319;17038;12197
172;GALATI;Galaţi;496892;23354;25478;28823;28264;24944;22907;28733;29230;37965;39879;46502;25754;33237;35921;26914;16715;12826;9446
181;GORJ;Gorj;314685;13034;14038;15830;17246;16740;15975;19634;20115;24188;26046;32744;18666;21593;19930;15871;9477;7779;5779
190;HARGHITA;Harghita;291950;15784;16252;17294;16833;15633;14689;18564;19308;22898;22651;23327;15532;17200;18541;14607;10808;7083;4946
207;HUNEDOARA;Hunedoara;361657;14148;15684;18103;18064;16034;15260;19769;20001;24804;29042;38075;23448;27296;27623;22093;14243;11029;6941
216;IALOMITA;Ialomiţa;250816;13113;14516;16436;14919;12561;11319;13976;13358;17336;19654;24402;13024;15618;16677;12928;8551;7018;5410
225;IASI;Iaşi;760774;47911;52484;53886;49420;43469;41549;50765;49570;55355;54657;57423;33728;42157;44028;34913;18846;17200;13413
234;ILFOV;Ilfov;542704;33478;33720;32988;26298;24737;31213;49048;49801;53194;44441;45457;21653;25776;26027;19109;10736;8332;6696
243;MARAMURES;Maramureş;452475;22415;23983;26114;26474;24199;23986;30651;30579;34811;35211;36164;27127;29112;27887;22040;15129;10258;6335
252;MEHEDINTI;Mehedinţi;234339;9921;11337;12371;12705;11209;10689;13308;13203;16949;18677;22549;13946;17139;16646;14036;8489;6417;4748
261;MURES;Mureş;518193;27816;28776;30556;30075;27696;26117;32280;31402;38330;40563;43339;27772;31716;33564;26108;18604;13630;9849
